visit_id,confirm_count,start_count,step_1_count,step_2_count,step_3_count,confirm_time,start_time,step_1_time,step_2_time,step_3_time,client_id,visitor_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
397294428_37713557899_794462,0,1,1,1,1,0.0,9.0,17.0,43.0,14.0,5243165,973951966_83504318574,4.0,58.0,24.0,U,2.0,31241.58,1.0,4.0
397294753_25656733095_742827,0,1,1,0,0,0.0,10.0,29.0,0.0,0.0,2047867,894699513_49946312541,7.0,95.0,37.5,U,2.0,40917.35,1.0,4.0
397364465_56049872747_355273,0,1,0,0,0,0.0,18.0,0.0,0.0,0.0,7175784,15560141_13808633941,13.0,157.0,33.5,M,2.0,117557.02,6.0,9.0
397424456_16546650978_189814,1,2,3,3,2,68.0,126.5,9.0,51.0,84.0,7628967,21886395_5968901612,13.0,167.0,49.5,M,3.0,28474.55,0.0,3.0
397435385_54527116371_987125,0,1,0,0,0,0.0,9.0,0.0,0.0,0.0,6631558,644076652_61944978921,23.0,283.0,76.0,F,2.0,58869.76,6.0,9.0
397489688_91543443613_935848,0,1,1,1,1,0.0,6.0,9.0,95.0,32.0,8956074,707822531_50459008292,5.0,66.0,33.0,U,2.0,33230.39,1.0,4.0
397529937_94177542358_345765,0,2,2,2,2,0.0,17.5,4.5,160.0,532.0,4177841,584449696_43951232395,23.0,285.0,41.5,F,2.0,27323.77,4.0,7.0
397558846_16308238006_979874,0,1,1,1,1,0.0,7.0,54.0,97.0,33.0,7705023,983443019_15771211314,12.0,144.0,44.0,F,2.0,60526.87,0.0,3.0
397639023_21254202529_359536,0,0,1,2,2,0.0,0.0,12.0,48.0,46.0,6815224,535478689_65818083906,6.0,78.0,29.5,F,2.0,28192.25,6.0,9.0
397650581_69429143102_705471,0,1,1,1,1,0.0,8.0,6.0,73.0,23.0,6805903,446381240_73861623583,6.0,72.0,31.0,U,2.0,27381.61,2.0,5.0
